0.427 0.736 12.4 3.3 0.1 -1
0.439 0.751 15.7 1.7 0.8 -1
0.498 0.707 30.6 8.9 1.5 -1
0.448 0.826 27.4 2.9 3.6 -1
0.477 0.718 21.8 3.4 1.3 -1
0.421 0.815 20.3 2.5 1 -1
0.445 0.799 27.6 4.6 1.5 -1
0.402 0.851 26.3 2.2 2.9 -1
0.438 0.786 32 4.9 1.7 -1
0.438 0.781 27.3 2.6 1.6 -1
0.427 0.741 17.2 1.7 1.6 -1
0.42 0.807 18 1.9 1.1 -1
0.402 0.78 23.5 2 2 -1
0.505 0.617 22.3 6.8 0.8 -1
0.428 0.819 24.8 3.4 1.6 -1
0.413 0.84 22.5 1.8 3.2 -1
0.442 0.836 31.4 5.2 3.4 -1
0.467 0.749 23.9 4.7 1.2 -1
0.431 0.699 24.8 4.2 1.4 -1
0.474 0.705 33.3 5.1 3 -1
0.387 0.614 6.3 0.5 1 -1
0.508 0.669 12.1 3.2 0.5 -1
0.461 0.754 20.7 2 2 -1
0.441 0.811 10.4 2.2 0.5 -1
0.435 0.713 25.8 4.4 4.6 -1
0.444 0.558 12 2.5 0.3 -1
0.47 0.564 11.8 3.1 0.2 -1
0.488 0.492 15.3 3.5 0.4 -1
0.504 0.74 34.3 9.8 1.9 1
0.45 0.745 29 2.9 3 -1
0.436 0.825 27.7 2.6 3.7 -1
0.45 0.77 25.5 3.8 2.8 -1
0.434 0.848 16.9 1.8 2.2 -1
0.527 0.692 31 8.5 1.1 1
0.407 0.775 12.2 1.1 1 -1
0.418 0.723 19.8 3.5 1.4 -1
0.455 0.79 26.2 6.4 1 -1
0.507 0.621 16.8 4.2 0.6 -1
0.422 0.668 11.1 3 0.2 -1
0.388 0.847 14.9 1.4 2.4 -1
0.486 0.76 24.5 6.6 1.1 -1
0.368 0.815 31.5 4.3 8.3 -1
0.461 0.766 29.8 2.8 6.2 -1
0.411 0.848 19.6 2.1 1.1 -1
0.408 0.747 24.8 3.4 1.3 -1
0.407 0.744 13.5 2.3 0.6 -1
0.515 0.617 20.3 5.2 0.9 -1
0.433 0.715 21.4 4.2 0.7 -1
0.479 0.577 13.4 2.6 0.6 -1
0.43 0.83 26.2 2.8 4.7 -1
0.457 0.663 18.9 3 1.4 -1
0.457 0.781 24.2 5.4 1.3 -1
0.403 0.869 9.6 0.7 2 -1
0.443 0.738 28.7 3.1 2.7 -1
0.468 0.787 23.5 3.7 1.5 -1
0.437 0.779 25.7 2.6 6 -1
0.518 0.739 34.3 7 3.6 1
0.493 0.757 23.1 5.7 1.8 -1
0.477 0.77 18.6 2.6 2 -1
0.463 0.779 21.3 5.6 1.8 -1
0.497 0.737 21.3 5.6 1.2 -1
