136,Brent Barry,0,0,1995,15,DEN,Oregon State University,14,912,23643,8488,2780,2892,0.46,0.405,0.823,25.9,9.3,3,3.2,70.5,0.143,2.6,27.2,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,5,1,0,0,0,0,0
139,Jeff McInnis,0,0,1996,37,DEN,University of North Carolina,11,576,15927,5396,1170,2514,0.431,0.328,0.796,27.7,9.4,2,4.4,23.1,0.07,-2.6,-2.5,Bernie Bickerstaff,2406 days 00:00:00.000000000,4,6,1,0,0,0,0,0
140,Emeka Okafor,0,0,2004,2,CHA,University of Connecticut,9,590,18702,7256,5847,512,0.512,0,0.584,31.7,12.3,9.9,0.9,44.3,0.114,-0.4,7.5,Bernie Bickerstaff,1323 days 00:00:00.000000000,4,7,1,0,0,0,0,0
142,Raymond Felton,0,0,2005,5,CHA,University of North Carolina,11,776,25385,9608,2459,4650,0.412,0.327,0.789,32.7,12.4,3.2,6,35.3,0.067,-0.4,10,Bernie Bickerstaff,1323 days 00:00:00.000000000,4,8,1,0,0,0,0,0
145,Ryan Hollins,0,0,2006,50,CHA,"University of California, Los Angeles",10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-2.6,-1,Bernie Bickerstaff,1323 days 00:00:00.000000000,4,9,1,0,0,0,0,0
149,Paul Griffin,0,0,1976,74,UTA,Western Michigan University,7,480,10053,2443,2650,1116,0.505,0,0.692,20.9,5.1,5.5,2.3,19.6,0.094,1.6,9.1,Bill Bertka,881 days 00:00:00.000000000,5,1,1,0,0,0,0,0
155,Greg Kelser,0,0,1979,4,DET,Michigan State University,6,305,6032,2961,1402,411,0.486,0.167,0.686,19.8,9.7,4.6,1.3,8.6,0.069,-0.8,1.9,Bill Davidson,515 days 00:00:00.000000000,6,1,1,0,0,0,0,0
157,Phil Hubbard,0,0,1979,15,DET,University of Michigan,10,665,15863,7228,3538,857,0.495,0.038,0.706,23.9,10.9,5.3,1.3,29,0.088,-0.7,5.3,Bill Davidson,515 days 00:00:00.000000000,6,1,1,0,0,0,0,0
176,Eddie Jordan,0,0,1977,33,CLE,Rutgers University,7,420,8507,3414,788,1595,0.414,0.224,0.763,20.3,8.1,1.9,3.8,8.8,0.05,-1.1,1.9,Bill Fitch,2218 days 00:00:00.000000000,7,2,1,0,0,0,0,0
184,Mike Mitchell,0,0,1978,15,CLE,Auburn University,10,759,24537,15016,4246,1010,0.493,0.216,0.779,32.3,19.8,5.6,1.3,50.2,0.098,-1.9,0.4,Bill Fitch,2218 days 00:00:00.000000000,7,3,1,0,0,0,0,0
193,Bill Laimbeer,0,0,1979,65,CLE,University of Notre Dame,14,1068,33956,13790,10400,2184,0.498,0.326,0.837,31.8,12.9,9.7,2,105.6,0.149,2,34.4,Bill Fitch,2218 days 00:00:00.000000000,7,4,1,0,0,0,0,0
200,Dennis Johnson,2,5,1976,29,OKC,Pepperdine University,14,1100,35954,15535,4249,5499,0.445,0.172,0.797,32.7,14.1,3.9,5,82.6,0.11,0.6,23.6,Bill Russell,1454 days 00:00:00.000000000,8,1,1,0,0,0,0,0
201,Bob Wilkerson,0,0,1976,11,OKC,Indiana University,7,536,14883,5424,2236,1835,0.425,0.167,0.751,27.8,10.1,4.2,3.4,8.2,0.027,-1.8,0.6,Bill Russell,1454 days 00:00:00.000000000,8,1,1,0,0,0,0,0
211,Vinny Del Negro,0,0,1988,29,SAC,North Carolina State University,12,771,19211,7038,1810,2484,0.475,0.359,0.84,24.9,9.1,2.3,3.2,40.6,0.101,-1.1,4.5,Bill Russell,652 days 00:00:00.000000000,8,2,1,0,0,0,0,0
212,Pervis Ellison,0,0,1989,1,SAC,University of Louisville,11,474,11593,4494,3170,691,0.51,0.05,0.689,24.5,9.5,6.7,1.5,21.8,0.09,0.5,7.4,Bill Russell,652 days 00:00:00.000000000,8,3,1,0,0,0,0,0
213,Kenny Carr,0,0,1977,6,LAL,North Carolina State University,10,674,17167,7813,4999,923,0.51,0.079,0.684,25.5,11.6,7.4,1.4,33.6,0.094,-1.1,4,Bill Sharman,2106 days 00:00:00.000000000,9,1,1,0,0,0,0,0
214,Brad Davis,0,0,1977,15,LAL,University of Maryland,15,961,22302,7866,1738,4709,0.51,0.321,0.828,23.2,8.2,1.8,4.9,53.6,0.115,-1.1,5.1,Bill Sharman,2106 days 00:00:00.000000000,9,1,1,0,0,0,0,0
215,Norm Nixon,0,0,1977,22,LAL,Duquesne University,10,768,27250,12065,1991,6386,0.483,0.294,0.772,35.5,15.7,2.6,8.3,47.6,0.084,-1.3,5.1,Bill Sharman,2106 days 00:00:00.000000000,9,1,1,0,0,0,0,0
216,James Edwards,0,0,1977,46,LAL,University of Washington,19,1168,28356,14862,6004,1499,0.495,0.048,0.698,24.3,12.7,5.1,1.3,59.7,0.101,-2,0.3,Bill Sharman,2106 days 00:00:00.000000000,9,1,1,0,0,0,0,0
223,Michael Cooper,0,0,1978,60,LAL,University of New Mexico,12,873,23635,7729,2769,3666,0.469,0.34,0.833,27.1,8.9,3.2,4.2,52.5,0.107,1,18.2,Bill Sharman,2106 days 00:00:00.000000000,9,2,1,0,0,0,0,0
228,Magic Johnson,10,12,1979,1,LAL,Michigan State University,13,906,33245,17707,6559,10141,0.52,0.303,0.848,36.7,19.5,7.2,11.2,155.8,0.225,7.2,77.4,Bill Sharman,2106 days 00:00:00.000000000,9,3,1,0,0,0,0,0
237,Butch Carter,0,0,1980,37,LAL,Indiana University,6,361,6814,3137,546,683,0.475,0.307,0.788,18.9,8.7,1.5,1.9,8.5,0.06,-2.5,-0.8,Bill Sharman,2106 days 00:00:00.000000000,9,4,1,0,0,0,0,0
242,Mike McGee,0,0,1981,19,LAL,University of Michigan,9,520,9271,4968,1112,629,0.487,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-0.9,2.5,Bill Sharman,2106 days 00:00:00.000000000,9,5,1,0,0,0,0,0
